date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:21:25	648224/648224	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Mar%202020%2011:21:24%20GMT	https://phuongtanit.blogspot.com/hqdefault.jpg	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/hqdefault.18.delayed	(from https://phuongtanit.blogspot.com/)
18:21:26	648248/648248	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Mar%202020%2011:21:25%20GMT	https://phuongtanit.blogspot.com/maxresdefault.jpg	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/maxresdefault.19.delayed	(from https://phuongtanit.blogspot.com/)
18:21:28	648212/648212	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Mar%202020%2011:21:27%20GMT	https://phuongtanit.blogspot.com/default.jpg	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/default.1a.delayed	(from https://phuongtanit.blogspot.com/)
18:21:29	3362/3362	---M--	200	added ('OK')	image/png	etag:%22vb88%22	http://3.bp.blogspot.com/-Yw8BIuvwoSQ/VsjkCIMoltI/AAAAAAAAC4c/s55PW6xEKn0/s1600-r/nth.png	C:/My%20Web%20Sites/phuongtanitblogspot/3.bp.blogspot.com/-Yw8BIuvwoSQ/VsjkCIMoltI/AAAAAAAAC4c/s55PW6xEKn0/s1600-r/nth.png	(from https://phuongtanit.blogspot.com/)
18:21:30	8638/8638	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f242ff15a186d9d5dc1c33cc46f2d4a1%22	https://cdn.onesignal.com/sdks/OneSignalSDK.js	C:/My%20Web%20Sites/phuongtanitblogspot/cdn.onesignal.com/sdks/OneSignalSDK.js	(from https://phuongtanit.blogspot.com/)
18:21:30	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4939-7918%22	http://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/phuongtanitblogspot/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://phuongtanit.blogspot.com/)
18:21:30	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/phuongtanitblogspot/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://phuongtanit.blogspot.com/)
18:21:32	648416/648416	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Mar%202020%2011:21:31%20GMT	https://phuongtanit.blogspot.com/path/to/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/path/to/font-awesome/css/font-awesome.min.1f.delayed	(from https://phuongtanit.blogspot.com/)
18:21:32	1/1	---MC-	200	added ('OK')	text/css	date:Mon,%2009%20Mar%202020%2011:21:32%20GMT	https://www.blogger.com/dyn-css/authorization.css?targetBlogID=8919935760160761133&zx=b7a4d80a-7703-4e36-8853-096e5be9fd8f	C:/My%20Web%20Sites/phuongtanitblogspot/www.blogger.com/dyn-css/authorization8c41.css	(from https://phuongtanit.blogspot.com/)
18:21:34	654661/654661	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/p/lien-he.html	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/p/lien-he.html	(from https://phuongtanit.blogspot.com/)
